,price,ranks,title,no_of_reviews,ratings,author,cover_type,year,category
0,12.49,1,The Lost Symbol,"16,118",4.4,Dan Brown,Hardcover,2009,Fiction
1,13.4,2,The Shack: Where Tragedy Confronts Eternity,"23,392",4.7,William P. Young,Paperback,2009,Fiction
2,9.93,3,Liberty and Tyranny: A Conservative Manifesto,"5,036",4.8,Mark R. Levin,Hardcover,2009,Non Fiction
3,14.3,4,"Breaking Dawn (The Twilight Saga, Book 4)","16,912",4.7,Stephenie Meyer,Hardcover,2009,Fiction
4,9.99,5,Going Rogue: An American Life,"1,572",4.6,Sarah Palin,Hardcover,2009,Non Fiction
5,18.29,6,StrengthsFinder 2.0,Gallup,4.1,,Hardcover,2009,Non Fiction
6,12.66,7,The Help,"18,068",4.8,Kathryn Stockett,Hardcover,2009,Fiction
7,17.56,8,New Moon (The Twilight Saga),"12,329",4.7,Stephenie Meyer,Paperback,2009,Fiction
8,58.9,9,The Twilight Saga Collection,"6,100",4.7,Stephenie Meyer,Hardcover,2009,Fiction
9,16.04,10,Outliers: The Story of Success,"22,209",4.7,Malcolm Gladwell,Hardcover,2009,Non Fiction
10,19.62,11,Eclipse (Twilight),"12,771",4.7,Stephenie Meyer,Hardcover,2009,Fiction
11,15.49,12,"Twilight (The Twilight Saga, Book 1)","22,103",4.7,Stephenie Meyer,Paperback,2009,Fiction
12,,13,"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine","1,421",4.6,Glenn Beck,Paperback,2009,Non Fiction
13,11.49,14,Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,"3,497",4.4,Greg Mortenson,Paperback,2009,Non Fiction
14,11.78,15,The Love Dare,"3,298",4.8,Stephen Kendrick,Paperback,2009,Non Fiction
15,20.45,16,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment","7,043",4.6,Steve Harvey,Hardcover,2009,Non Fiction
16,11.6,17,"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)","7,979",4.7,Jeff Kinney,Hardcover,2009,Fiction
17,31.61,18,Under the Dome: A Novel,"9,110",4.4,Stephen King,Hardcover,2009,Fiction
18,10.42,19,The Guernsey Literary and Potato Peel Pie Society,"14,884",4.7,Mary Ann Shaffer,Paperback,2009,Fiction
19,10.76,20,Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,929,4.5,David Zinczenko,Paperback,2009,Non Fiction
20,10.5,21,Arguing with Idiots: How to Stop Small Minds and Big Government,895,4.6,Glenn Beck,Hardcover,2009,Non Fiction
21,28.49,22,"Mastering the Art of French Cooking, Volume I: 50th Anniversary Edition: A Cookbook","7,568",4.8,Julia Child,Hardcover,2009,unknown
22,82.15,23,Sookie Stackhouse,995,4.7,Charlaine Harris,Mass Market Paperback,2009,Fiction
23,9.99,24,The Time Traveler's Wife,"6,592",4.5,Audrey Niffenegger,Paperback,2009,Fiction
24,24.29,25,"Publication Manual of the American Psychological Association, 6th Edition","12,674",4.5,American Psychological Association,Paperback,2009,Non Fiction
25,13.98,26,True Compass: A Memoir,509,4.5,Edward M. Kennedy,Hardcover,2009,Non Fiction
26,9.49,27,The Girl with the Dragon Tattoo (Millennium Series),"15,466",4.5,Stieg Larsson,Paperback,2009,Fiction
27,16.6,28,The 5000 Year Leap,"2,565",4.8,W. Cleon Skousen,Paperback,2009,Non Fiction
28,16.5,29,Good to Great: Why Some Companies Make the Leap and Others Don't,"5,803",4.5,Jim Collins,Hardcover,2009,Non Fiction
29,23.9,30,Eclipse (Twilight Sagas),"12,771",4.7,Stephenie Meyer,Paperback,2009,Fiction
30,13.2,31,Where the Wild Things Are,"32,044",4.9,Maurice Sendak,Hardcover,2009,Fiction
31,20.72,32,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",Patrick Lencioni,4.6,,Hardcover,2009,unknown
32,8.77,33,Olive Kitteridge,"11,519",4.3,Elizabeth Strout,Paperback,2009,Fiction
33,11.74,34,Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),"2,790",4.7,Charlaine Harris,Hardcover,2009,Fiction
34,14.97,35,"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!","1,158",4.3,David Zinczenko,Paperback,2009,Non Fiction
35,17.54,36,"Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance","2,373",4.6,Steven D. Levitt,Hardcover,2009,Non Fiction
36,12.99,37,The Tipping Point: How Little Things Can Make a Big Difference,"5,732",4.4,Malcolm Gladwell,Paperback,2009,Non Fiction
37,16.48,38,Crazy Love: Overwhelmed by a Relentless God,"1,920",4.7,Francis Chan,Paperback,2009,Non Fiction
38,10.44,39,"The Last Olympian (Percy Jackson and the Olympians, Book 5)","14,955",4.8,Rick Riordan,Hardcover,2009,Fiction
39,9.09,40,The Elegance of the Hedgehog,"3,486",4.2,Muriel Barbery,Paperback,2009,Fiction
40,9.8,41,"I, Alex Cross","3,242",4.6,James Patterson,Hardcover,2009,Fiction
41,22.8,42,The Girl Who Played with Fire (Millennium),"10,693",4.7,Stieg Larsson,Hardcover,2009,Fiction
42,14.95,43,The Last Lecture,"5,899",4.7,Randy Pausch,Hardcover,2009,Non Fiction
43,14.72,44,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Gary Chapman,4.6,,Paperback,2009,Non Fiction
44,33.99,45,Watchmen,"7,746",4.8,Alan Moore,Paperback,2009,Fiction
45,19.99,46,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,,Paperback,2009,Non Fiction
46,25,47,The Book of Basketball: The NBA According to The Sports Guy,"1,387",4.7,Bill Simmons,Hardcover,2009,Non Fiction
47,16,48,"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All Universes",60,4.6,Zhi Gang Sha,Hardcover,2009,unknown
48,21.98,51,Diary of a Wimpy Kid Do-it-yourself Book,"9,371",4.8,Jeff Kinney,Hardcover,2009,unknown
49,15.71,52,Open: An Autobiography,"8,639",4.7,Andre Agassi,Hardcover,2009,unknown
50,9.78,53,Pride and Prejudice and Zombies,Jane Austen,4.3,,Paperback,2009,unknown
51,10.95,54,Cook Yourself Thin: Skinny Meals You Can Make in Minutes,888,4.3,"Lifetime Television,",Paperback,2009,unknown
52,9.54,55,Hungry Girl: 200 Under 200: 200 Recipes Under 200 Calories,901,4.4,Lisa Lillien,Paperback,2009,unknown
53,18.49,56,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen","11,833",4.7,Christopher McDougall,Hardcover,2009,unknown
54,7.96,57,A Bold Fresh Piece of Humanity,764,4.7,Bill O'Reilly,Hardcover,2009,unknown
55,14.52,58,The Pioneer Woman Cooks: Recipes from an Accidental Country Girl,"5,477",4.8,Ree Drummond,Hardcover,2009,unknown
56,6.99,59,The Book Thief,"34,536",4.7,Markus Zusak,Paperback,2009,Fiction
57,15.85,60,South of Broad,"2,484",4.5,Pat Conroy,Hardcover,2009,unknown
58,10.33,61,The Omnivore's Dilemma: A Natural History of Four Meals,"3,678",4.6,Michael Pollan,Paperback,2009,unknown
59,20.58,62,The Host,"9,715",4.6,Stephenie Meyer,Hardcover,2009,unknown
60,9.79,63,Master Your Metabolism: The 3 Diet Secrets to Naturally Balancing Your Hormones for a Hot and Healthy Body!,929,4.3,Jillian Michaels,Hardcover,2009,unknown
61,11.3,64,Ford County: Stories,"4,306",4.4,John Grisham,Hardcover,2009,unknown
62,9.06,65,"Culture of Corruption: Obama and His Team of Tax Cheats, Crooks, and Cronies","1,094",4.6,Michelle Malkin,Hardcover,2009,unknown
63,11.04,66,Blink: The Power of Thinking Without Thinking,"8,638",4.5,Malcolm Gladwell,Paperback,2009,unknown
64,16.97,67,"Diary of a Wimpy Kid, Book 1","16,590",4.8,Jeff Kinney,Hardcover,2009,unknown
65,15.2,68,The Graveyard Book,"7,133",4.7,Neil Gaiman,Hardcover,2009,unknown
66,28.99,69,An Echo in the Bone (Outlander),"16,893",4.8,Diana Gabaldon,Hardcover,2009,unknown
67,19.81,70,"The Gathering Storm (Wheel of Time, Book 12)","6,337",4.8,Robert Jordan,Hardcover,2009,unknown
68,16.99,71,Dreams from My Father: A Story of Race and Inheritance,"7,581",4.7,Barack Obama,Paperback,2009,unknown
69,14.49,72,Pirate Latitudes: A Novel,"2,837",4.3,Michael Crichton,Hardcover,2009,unknown
70,,73,The Official SAT Study Guide: For the New SAT (tm),The College Board,4.5,,Paperback,2009,unknown
71,24.95,74,Getting Things Done: The Art of Stress-Free Productivity,"4,736",4.6,David Allen,Paperback,2009,unknown
